Tag	GO Term	GO Name	GO Category	Adj. P-value	P-value	Nr Test	Nr Reference	Not Annot Test	Not Annot Ref
UNDER	GO:0051510	regulation of unidimensional cell growth	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0048640	negative regulation of developmental growth	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0030308	negative regulation of cell growth	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0016036	cellular response to phosphate starvation	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0071472	cellular response to salt stress	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0009408	response to heat	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006525	arginine metabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0009084	L-glutamine family amino acid biosynthetic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006750	glutathione biosynthetic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0009635	response to herbicide	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0034553	mitochondrial respiratory chain complex II assembly	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0071577	zinc ion transmembrane transport	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0072356	chromosome passenger complex localization to kinetochore	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0051987	positive regulation of attachment of spindle microtubules to kinetochore	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0000723	telomere maintenance	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:1900366	negative regulation of defense response to insect	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:2000022	regulation of jasmonic acid mediated signaling pathway	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0009765	photosynthesis, light harvesting	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0000470	maturation of LSU-rRNA	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0000460	maturation of 5.8S rRNA	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0071456	cellular response to hypoxia	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0050832	defense response to fungus	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0009650	UV protection	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0000719	photoreactive repair	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0010447	response to acidic pH	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006415	translational termination	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0032543	mitochondrial translation	BP_ARGOT	1	0.92	0	1	1	14
UNDER	GO:0042372	phylloquinone biosynthetic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0016998	cell wall macromolecule catabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006032	chitin catabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0009630	gravitropism	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0048364	root development	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0080113	regulation of seed growth	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0090229	negative regulation of red or far-red light signaling pathway	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0042542	response to hydrogen peroxide	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0045471	response to ethanol	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0046688	response to copper ion	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0046686	response to cadmium ion	BP_ARGOT	1	1	0	0	1	14
